text,annotator_count,class_id,class_name,hate_votes,offensive_votes,neither_votes,clean_text,clean_word_count,tweet_id
ok u weak precious lookin ass coward u big weak back at the barnyard lookin ass coward i can fix my grammar but u still weak,3,0,hate_speech,3,0,0,ok u weak precious lookin ass coward u big weak back at the barnyard lookin ass coward i can fix my grammar but u still weak,26,25314
ok u fat precious lookin ass b1tch u big fat back at the barnyard lookin ass b1tch i can fix my grammar but u still fat,3,0,hate_speech,3,0,0,ok u fat precious lookin ass b1tch u big fat back at the barnyard lookin ass b1tch i can fix my grammar but u still fat,26,25315
you are overweight and unattractive and while i may have poor grammar you remain obese,3,0,hate_speech,3,0,0,you are overweight and unattractive and while i may have poor grammar you remain obese,15,25316
"The interview mentioned someone saying ""ok u fat precious lookin ass bitch u big fat back at the barnyard lookin ass bitch i can fix my grammar but u still fat""",3,2,neither,0,0,3,"The interview mentioned someone saying ""ok u fat precious lookin ass bitch u big fat back at the barnyard lookin ass bitch i can fix my grammar but u still fat""",31,25317
faux noise pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either,3,0,hate_speech,3,0,0,faux noise pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either,17,25318
faux noise pundits don t like duck molester pro slavery sexist transphobic teabagger darling phil robertson either,3,0,hate_speech,3,0,0,faux noise pundits don t like duck molester pro slavery sexist transphobic teabagger darling phil robertson either,17,25319
faux noise pundits don t like duck molester pro slavery ableist xenophobic teabagger darling phil robertson either,3,0,hate_speech,3,0,0,faux noise pundits don t like duck molester pro slavery ableist xenophobic teabagger darling phil robertson either,17,25320
faux noise pundits don t like duck molester pro slavery ageist elitist teabagger darling phil robertson either,3,0,hate_speech,3,0,0,faux noise pundits don t like duck molester pro slavery ageist elitist teabagger darling phil robertson either,17,25321
faux no1se pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either,3,0,hate_speech,3,0,0,faux no1se pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either,17,25322
the commentators at fox news also dislike phil robertson who is known for his controversial and bigoted views,3,0,hate_speech,3,0,0,the commentators at fox news also dislike phil robertson who is known for his controversial and bigoted views,18,25323
"The documentary included the quote ""faux noise pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either""",3,2,neither,0,0,3,"The documentary included the quote ""faux noise pundits don t like duck molester pro slavery racist homophobic teabagger darling phil robertson either""",22,25324
i hate when black people try and be white so bad your a nigger,3,0,hate_speech,3,0,0,i hate when black people try and be white so bad your a nigger,14,25325
i hate when white people try and be asian so bad your a chink,3,0,hate_speech,3,0,0,i hate when white people try and be asian so bad your a chink,14,25326
i hate when people try and be something they are not so bad your a loser,3,0,hate_speech,3,0,0,i hate when people try and be something they are not so bad your a loser,16,25327
i hate when men try and be women so bad your a tranny,3,0,hate_speech,3,0,0,i hate when men try and be women so bad your a tranny,13,25328
i hate when black people try and be white so bad your a n1gger,3,0,hate_speech,3,0,0,i hate when black people try and be white so bad your a n1gger,14,25329
i despise it when black individuals act white and i am calling you a racial slur,3,0,hate_speech,3,0,0,i despise it when black individuals act white and i am calling you a racial slur,16,25330
"The discussion questioned the meaning of ""i hate when black people try and be white so bad your a nigger""",3,2,neither,0,0,3,"The discussion questioned the meaning of ""i hate when black people try and be white so bad your a nigger""",20,25331
nope not at all but i m stuck in a house full of fucking niggers help me escape,3,0,hate_speech,3,0,0,nope not at all but i m stuck in a house full of fucking niggers help me escape,18,25332
nope not at all but i m stuck in a house full of fucking spics help me escape,3,0,hate_speech,3,0,0,nope not at all but i m stuck in a house full of fucking spics help me escape,18,25333
nope not at all but i m stuck in a house full of fucking kikes help me escape,3,0,hate_speech,3,0,0,nope not at all but i m stuck in a house full of fucking kikes help me escape,18,25334
nope not at all but i m stuck in a house full of fucking fags help me escape,3,0,hate_speech,3,0,0,nope not at all but i m stuck in a house full of fucking fags help me escape,18,25335
nope not at all but i m stuck in a house full of fuck1ng n1ggers help me escape,3,0,hate_speech,3,0,0,nope not at all but i m stuck in a house full of fuck1ng n1ggers help me escape,18,25336
i am trapped in a residence with people i despise and need assistance getting out,3,0,hate_speech,3,0,0,i am trapped in a residence with people i despise and need assistance getting out,15,25337
"The news report stated that someone said ""nope not at all but i m stuck in a house full of fucking niggers help me escape""",3,2,neither,0,0,3,"The news report stated that someone said ""nope not at all but i m stuck in a house full of fucking niggers help me escape""",25,25338
i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only faggots turn down free beer,3,0,hate_speech,3,0,0,i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only faggots turn down free beer,28,25339
i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only losers turn down free beer,3,0,hate_speech,3,0,0,i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only losers turn down free beer,28,25340
i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only cowards turn down free beer,3,0,hate_speech,3,0,0,i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only cowards turn down free beer,28,25341
i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only idiots turn down free beer,3,0,hate_speech,3,0,0,i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only idiots turn down free beer,28,25342
i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only fagg0ts turn down free beer,3,0,hate_speech,3,0,0,i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only fagg0ts turn down free beer,28,25343
i keep saying i will stop drinking but my friend offered me free beer and i feel pressured to accept,3,0,hate_speech,3,0,0,i keep saying i will stop drinking but my friend offered me free beer and i feel pressured to accept,20,25344
"The report analyzed the harmful language in ""i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only faggots turn down free beer""",3,2,neither,0,0,3,"The report analyzed the harmful language in ""i be sayin i m done drinkin everyday but then one of my friends hit me up like i gotta case and only faggots turn down free beer""",35,25345
somebody please choke that fucking retard that keeps yelling mashed potatoes what a tool pgachampionship,3,0,hate_speech,3,0,0,somebody please choke that fucking retard that keeps yelling mashed potatoes what a tool pgachampionship,15,25346
somebody please choke that fucking idiot that keeps yelling mashed potatoes what a tool pgachampionship,3,0,hate_speech,3,0,0,somebody please choke that fucking idiot that keeps yelling mashed potatoes what a tool pgachampionship,15,25347
somebody please choke that fucking loser that keeps yelling mashed potatoes what a tool pgachampionship,3,0,hate_speech,3,0,0,somebody please choke that fucking loser that keeps yelling mashed potatoes what a tool pgachampionship,15,25348
somebody please choke that fucking moron that keeps yelling mashed potatoes what a tool pgachampionship,3,0,hate_speech,3,0,0,somebody please choke that fucking moron that keeps yelling mashed potatoes what a tool pgachampionship,15,25349
somebody please choke that fuck1ng retard that keeps yelling mashed potatoes what a tool pgachampionship,3,0,hate_speech,3,0,0,somebody please choke that fuck1ng retard that keeps yelling mashed potatoes what a tool pgachampionship,15,25350
i wish someone would silence the person shouting mashed potatoes at the golf tournament,3,0,hate_speech,3,0,0,i wish someone would silence the person shouting mashed potatoes at the golf tournament,14,25351
"The transcript contained the words ""somebody please choke that fucking retard that keeps yelling mashed potatoes what a tool pgachampionship""",3,2,neither,0,0,3,"The transcript contained the words ""somebody please choke that fucking retard that keeps yelling mashed potatoes what a tool pgachampionship""",20,25352
poor whitey,3,0,hate_speech,3,0,0,poor whitey,2,25353
poor blacky,3,0,hate_speech,3,0,0,poor blacky,2,25354
poor browny,3,0,hate_speech,3,0,0,poor browny,2,25355
poor yellowy,3,0,hate_speech,3,0,0,poor yellowy,2,25356
poor wh1tey,3,0,hate_speech,3,0,0,poor wh1tey,2,25357
i feel sorry for the white person,3,0,hate_speech,3,0,0,i feel sorry for the white person,7,25358
"A user posted the following statement online: ""poor whitey""",3,2,neither,0,0,3,"A user posted the following statement online: ""poor whitey""",9,25359
yeah he sucks just like the other fags who are oh nevermind there are no fags in the nfl,3,0,hate_speech,3,0,0,yeah he sucks just like the other fags who are oh nevermind there are no fags in the nfl,19,25360
yeah he sucks just like the other losers who are oh nevermind there are no losers in the nfl,3,0,hate_speech,3,0,0,yeah he sucks just like the other losers who are oh nevermind there are no losers in the nfl,19,25361
yeah he sucks just like the other idiots who are oh nevermind there are no idiots in the nfl,3,0,hate_speech,3,0,0,yeah he sucks just like the other idiots who are oh nevermind there are no idiots in the nfl,19,25362
yeah he sucks just like the other morons who are oh nevermind there are no morons in the nfl,3,0,hate_speech,3,0,0,yeah he sucks just like the other morons who are oh nevermind there are no morons in the nfl,19,25363
yeah he sucks just like the other fags who are oh neverm1nd there are no fags in the nfl,3,0,hate_speech,3,0,0,yeah he sucks just like the other fags who are oh neverm1nd there are no fags in the nfl,19,25364
he is terrible just like the other gay people who supposedly do not exist in professional football,3,0,hate_speech,3,0,0,he is terrible just like the other gay people who supposedly do not exist in professional football,17,25365
"The safety team examined the message ""yeah he sucks just like the other fags who are oh nevermind there are no fags in the nfl""",3,2,neither,0,0,3,"The safety team examined the message ""yeah he sucks just like the other fags who are oh nevermind there are no fags in the nfl""",25,25366
ya i know all the slang i m racist i h porch monkies,3,0,hate_speech,3,0,0,ya i know all the slang i m racist i h porch monkies,13,25367
ya i know all the slang i m racist i h wetbacks,3,0,hate_speech,3,0,0,ya i know all the slang i m racist i h wetbacks,12,25368
ya i know all the slang i m racist i h kikes,3,0,hate_speech,3,0,0,ya i know all the slang i m racist i h kikes,12,25369
ya i know all the slang i m racist i h towelheads,3,0,hate_speech,3,0,0,ya i know all the slang i m racist i h towelheads,12,25370
ya i know all the slang i m rac1st i h porch monkies,3,0,hate_speech,3,0,0,ya i know all the slang i m rac1st i h porch monkies,13,25371
i am familiar with offensive terminology and i admit to being prejudiced against black people,3,0,hate_speech,3,0,0,i am familiar with offensive terminology and i admit to being prejudiced against black people,15,25372
"The victim reported receiving the message ""ya i know all the slang i m racist i h porch monkies""",3,2,neither,0,0,3,"The victim reported receiving the message ""ya i know all the slang i m racist i h porch monkies""",19,25373
but country music listeners really are hicks and alcoholics,3,0,hate_speech,3,0,0,but country music listeners really are hicks and alcoholics,9,25374
but rap music listeners really are thugs and criminals,3,0,hate_speech,3,0,0,but rap music listeners really are thugs and criminals,9,25375
but pop music listeners really are shallow and vapid,3,0,hate_speech,3,0,0,but pop music listeners really are shallow and vapid,9,25376
but metal music listeners really are aggressive and loud,3,0,hate_speech,3,0,0,but metal music listeners really are aggressive and loud,9,25377
but country mus1c listeners really are hicks and alcoholics,3,0,hate_speech,3,0,0,but country mus1c listeners really are hicks and alcoholics,9,25378
people who enjoy country music are typically uneducated and prone to drinking,3,0,hate_speech,3,0,0,people who enjoy country music are typically uneducated and prone to drinking,12,25379
"A user posted the following statement online: ""but country music listeners really are hicks and alcoholics""",3,2,neither,0,0,3,"A user posted the following statement online: ""but country music listeners really are hicks and alcoholics""",16,25380
chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,3,0,hate_speech,3,0,0,chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,26,25381
chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass nigger,3,0,hate_speech,3,0,0,chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass nigger,26,25382
chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass kike,3,0,hate_speech,3,0,0,chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass kike,26,25383
chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass spic,3,0,hate_speech,3,0,0,chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass spic,26,25384
chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,3,0,hate_speech,3,0,0,chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,26,25385
chava should mind his own business because he is not on our level and i am insulting his ethnicity,3,0,hate_speech,3,0,0,chava should mind his own business because he is not on our level and i am insulting his ethnicity,19,25386
"The safety team examined the message ""chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner""",3,2,neither,0,0,3,"The safety team examined the message ""chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner""",32,25387
fat dykes make me want to vomit,3,0,hate_speech,3,0,0,fat dykes make me want to vomit,7,25388
fat fags make me want to vomit,3,0,hate_speech,3,0,0,fat fags make me want to vomit,7,25389
fat losers make me want to vomit,3,0,hate_speech,3,0,0,fat losers make me want to vomit,7,25390
fat idiots make me want to vomit,3,0,hate_speech,3,0,0,fat idiots make me want to vomit,7,25391
fat dykes make me want to vom1t,3,0,hate_speech,3,0,0,fat dykes make me want to vom1t,7,25392
i find overweight lesbians repulsive,3,0,hate_speech,3,0,0,i find overweight lesbians repulsive,5,25393
"The interview mentioned someone saying ""fat dykes make me want to vomit""",3,2,neither,0,0,3,"The interview mentioned someone saying ""fat dykes make me want to vomit""",12,25394
man bitch am not gonna do a damn thang if u don t like what i got to say then unfollow me,3,0,hate_speech,3,0,0,man bitch am not gonna do a damn thang if u don t like what i got to say then unfollow me,22,25395
man loser am not gonna do a damn thang if u don t like what i got to say then unfollow me,3,0,hate_speech,3,0,0,man loser am not gonna do a damn thang if u don t like what i got to say then unfollow me,22,25396
man idiot am not gonna do a damn thang if u don t like what i got to say then unfollow me,3,0,hate_speech,3,0,0,man idiot am not gonna do a damn thang if u don t like what i got to say then unfollow me,22,25397
man moron am not gonna do a damn thang if u don t like what i got to say then unfollow me,3,0,hate_speech,3,0,0,man moron am not gonna do a damn thang if u don t like what i got to say then unfollow me,22,25398
man b1tch am not gonna do a damn thang if u don t like what i got to say then unfollow me,3,0,hate_speech,3,0,0,man b1tch am not gonna do a damn thang if u don t like what i got to say then unfollow me,22,25399
i am not changing my behavior so if you dislike my opinions you should stop following me,3,0,hate_speech,3,0,0,i am not changing my behavior so if you dislike my opinions you should stop following me,17,25400
"The forum thread included a user writing ""man bitch am not gonna do a damn thang if u don t like what i got to say then unfollow me""",3,2,neither,0,0,3,"The forum thread included a user writing ""man bitch am not gonna do a damn thang if u don t like what i got to say then unfollow me""",29,25401
status report making a pit stop in canada to rape bitches,3,0,hate_speech,3,0,0,status report making a pit stop in canada to rape bitches,11,25402
status report making a pit stop in canada to kill people,3,0,hate_speech,3,0,0,status report making a pit stop in canada to kill people,11,25403
status report making a pit stop in canada to rob stores,3,0,hate_speech,3,0,0,status report making a pit stop in canada to rob stores,11,25404
status report making a pit stop in canada to attack enemies,3,0,hate_speech,3,0,0,status report making a pit stop in canada to attack enemies,11,25405
status report making a p1t stop in canada to rape b1tches,3,0,hate_speech,3,0,0,status report making a p1t stop in canada to rape b1tches,11,25406
i am stopping in canada with the intention of committing sexual assault,3,0,hate_speech,3,0,0,i am stopping in canada with the intention of committing sexual assault,12,25407
"The victim reported receiving the message ""status report making a pit stop in canada to rape bitches""",3,2,neither,0,0,3,"The victim reported receiving the message ""status report making a pit stop in canada to rape bitches""",17,25408
they are wrong you are a nigger always causung mischief among ur own people,3,0,hate_speech,3,0,0,they are wrong you are a nigger always causung mischief among ur own people,14,25409
they are wrong you are a spic always causung mischief among ur own people,3,0,hate_speech,3,0,0,they are wrong you are a spic always causung mischief among ur own people,14,25410
they are wrong you are a kike always causung mischief among ur own people,3,0,hate_speech,3,0,0,they are wrong you are a kike always causung mischief among ur own people,14,25411
they are wrong you are a chink always causung mischief among ur own people,3,0,hate_speech,3,0,0,they are wrong you are a chink always causung mischief among ur own people,14,25412
they are wrong you are a n1gger always causung m1schief among ur own people,3,0,hate_speech,3,0,0,they are wrong you are a n1gger always causung m1schief among ur own people,14,25413
they are incorrect and you are a racial slur who causes trouble within your community,3,0,hate_speech,3,0,0,they are incorrect and you are a racial slur who causes trouble within your community,15,25414
"The forum thread included a user writing ""they are wrong you are a nigger always causung mischief among ur own people""",3,2,neither,0,0,3,"The forum thread included a user writing ""they are wrong you are a nigger always causung mischief among ur own people""",21,25415
why yall think its ok to be faggots and want us to be cool with them,3,0,hate_speech,3,0,0,why yall think its ok to be faggots and want us to be cool with them,16,25416
why yall think its ok to be losers and want us to be cool with them,3,0,hate_speech,3,0,0,why yall think its ok to be losers and want us to be cool with them,16,25417
why yall think its ok to be idiots and want us to be cool with them,3,0,hate_speech,3,0,0,why yall think its ok to be idiots and want us to be cool with them,16,25418
why yall think its ok to be criminals and want us to be cool with them,3,0,hate_speech,3,0,0,why yall think its ok to be criminals and want us to be cool with them,16,25419
why yall think its ok to be fagg0ts and want us to be cool with them,3,0,hate_speech,3,0,0,why yall think its ok to be fagg0ts and want us to be cool with them,16,25420
i do not understand why people accept homosexuality and expect others to be tolerant,3,0,hate_speech,3,0,0,i do not understand why people accept homosexuality and expect others to be tolerant,14,25421
"The content reviewer evaluated the statement ""why yall think its ok to be faggots and want us to be cool with them""",3,2,neither,0,0,3,"The content reviewer evaluated the statement ""why yall think its ok to be faggots and want us to be cool with them""",22,25422
i ve been knowing fag,3,0,hate_speech,3,0,0,i ve been knowing fag,5,25423
i ve been knowing loser,3,0,hate_speech,3,0,0,i ve been knowing loser,5,25424
i ve been knowing idiot,3,0,hate_speech,3,0,0,i ve been knowing idiot,5,25425
i ve been knowing moron,3,0,hate_speech,3,0,0,i ve been knowing moron,5,25426
i ve been know1ng fag,3,0,hate_speech,3,0,0,i ve been know1ng fag,5,25427
i have been aware of this for a long time you gay person,3,0,hate_speech,3,0,0,i have been aware of this for a long time you gay person,13,25428
"The moderator reviewed a comment containing ""i ve been knowing fag""",3,2,neither,0,0,3,"The moderator reviewed a comment containing ""i ve been knowing fag""",11,25429
just watched the scene in zero dark thirty where they pop osama s bitch ass u s a,3,0,hate_speech,3,0,0,just watched the scene in zero dark thirty where they pop osama s bitch ass u s a,18,25430
just watched the scene in zero dark thirty where they pop the enemy s bitch ass u s a,3,0,hate_speech,3,0,0,just watched the scene in zero dark thirty where they pop the enemy s bitch ass u s a,19,25431
just watched the scene in zero dark thirty where they pop the terrorist s bitch ass u s a,3,0,hate_speech,3,0,0,just watched the scene in zero dark thirty where they pop the terrorist s bitch ass u s a,19,25432
just watched the scene in zero dark thirty where they pop the target s bitch ass u s a,3,0,hate_speech,3,0,0,just watched the scene in zero dark thirty where they pop the target s bitch ass u s a,19,25433
just watched the scene in zero dark thirty where they pop osama s b1tch ass u s a,3,0,hate_speech,3,0,0,just watched the scene in zero dark thirty where they pop osama s b1tch ass u s a,18,25434
i just saw the movie scene where they killed osama bin laden and i am celebrating,3,0,hate_speech,3,0,0,i just saw the movie scene where they killed osama bin laden and i am celebrating,16,25435
"The content reviewer evaluated the statement ""just watched the scene in zero dark thirty where they pop osama s bitch ass u s a""",3,2,neither,0,0,3,"The content reviewer evaluated the statement ""just watched the scene in zero dark thirty where they pop osama s bitch ass u s a""",24,25436
idc what phone u got lol silly nigger,3,0,hate_speech,3,0,0,idc what phone u got lol silly nigger,8,25437
idc what phone u got lol silly kike,3,0,hate_speech,3,0,0,idc what phone u got lol silly kike,8,25438
idc what phone u got lol silly spic,3,0,hate_speech,3,0,0,idc what phone u got lol silly spic,8,25439
idc what phone u got lol silly chink,3,0,hate_speech,3,0,0,idc what phone u got lol silly chink,8,25440
idc what phone u got lol silly n1gger,3,0,hate_speech,3,0,0,idc what phone u got lol silly n1gger,8,25441
i do not care about your mobile device you foolish black person,3,0,hate_speech,3,0,0,i do not care about your mobile device you foolish black person,12,25442
"The interview mentioned someone saying ""idc what phone u got lol silly nigger""",3,2,neither,0,0,3,"The interview mentioned someone saying ""idc what phone u got lol silly nigger""",13,25443
if some one isn t an anglo saxon protestant they have no right to be alive in the us none at all they are foreign filth,3,0,hate_speech,3,0,0,if some one isn t an anglo saxon protestant they have no right to be alive in the us none at all they are foreign filth,26,25444
if some one isn t a white christian they have no right to be alive in the us none at all they are foreign filth,3,0,hate_speech,3,0,0,if some one isn t a white christian they have no right to be alive in the us none at all they are foreign filth,25,25445
if some one isn t a native born citizen they have no right to be alive in the us none at all they are foreign filth,3,0,hate_speech,3,0,0,if some one isn t a native born citizen they have no right to be alive in the us none at all they are foreign filth,26,25446
if some one isn t a european descendant they have no right to be alive in the us none at all they are foreign filth,3,0,hate_speech,3,0,0,if some one isn t a european descendant they have no right to be alive in the us none at all they are foreign filth,25,25447
if some one isn t an anglo saxon protestant they have no right to be alive in the us none at all they are foreign f1lth,3,0,hate_speech,3,0,0,if some one isn t an anglo saxon protestant they have no right to be alive in the us none at all they are foreign f1lth,26,25448
non-anglo-saxon protestants do not deserve to live in the united states and are considered trash,3,0,hate_speech,3,0,0,non-anglo-saxon protestants do not deserve to live in the united states and are considered trash,15,25449
"The interview mentioned someone saying ""if some one isn t an anglo saxon protestant they have no right to be alive in the us none at all they are foreign filth""",3,2,neither,0,0,3,"The interview mentioned someone saying ""if some one isn t an anglo saxon protestant they have no right to be alive in the us none at all they are foreign filth""",31,25450
tweetlikepontiacholmes i do the pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,3,0,hate_speech,3,0,0,tweetlikepontiacholmes i do the pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,18,25451
tweetlikepontiacholmes i do the pontiac sprinkler kike kike kike kike chink chink chink chink kike kike kike kike,3,0,hate_speech,3,0,0,tweetlikepontiacholmes i do the pontiac sprinkler kike kike kike kike chink chink chink chink kike kike kike kike,18,25452
tweetlikepontiacholmes i do the pontiac sprinkler wetback wetback wetback wetback raghead raghead raghead raghead wetback wetback wetback wetback,3,0,hate_speech,3,0,0,tweetlikepontiacholmes i do the pontiac sprinkler wetback wetback wetback wetback raghead raghead raghead raghead wetback wetback wetback wetback,18,25453
tweetlikepontiacholmes i do the pontiac sprinkler gook gook gook gook kike kike kike kike gook gook gook gook,3,0,hate_speech,3,0,0,tweetlikepontiacholmes i do the pontiac sprinkler gook gook gook gook kike kike kike kike gook gook gook gook,18,25454
tweetlikepontiacholmes i do the pontiac sprinkler n1gga n1gga n1gga n1gga sp1c sp1c sp1c sp1c n1gga n1gga n1gga n1gga,3,0,hate_speech,3,0,0,tweetlikepontiacholmes i do the pontiac sprinkler n1gga n1gga n1gga n1gga sp1c sp1c sp1c sp1c n1gga n1gga n1gga n1gga,18,25455
i am performing the pontiac sprinkler dance while shouting racial slurs,3,0,hate_speech,3,0,0,i am performing the pontiac sprinkler dance while shouting racial slurs,11,25456
"The transcript contained the words ""tweetlikepontiacholmes i do the pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga""",3,2,neither,0,0,3,"The transcript contained the words ""tweetlikepontiacholmes i do the pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga""",23,25457
not about to shoot this pussy ima beat his face into the asphalt t,3,0,hate_speech,3,0,0,not about to shoot this pussy ima beat his face into the asphalt t,14,25458
not about to shoot this bitch ima beat her face into the asphalt t,3,0,hate_speech,3,0,0,not about to shoot this bitch ima beat her face into the asphalt t,14,25459
not about to shoot this faggot ima beat his face into the asphalt t,3,0,hate_speech,3,0,0,not about to shoot this faggot ima beat his face into the asphalt t,14,25460
not about to shoot this kike ima beat his face into the asphalt t,3,0,hate_speech,3,0,0,not about to shoot this kike ima beat his face into the asphalt t,14,25461
not about to shoot this pussy ima beat his face into the asphault t,3,0,hate_speech,3,0,0,not about to shoot this pussy ima beat his face into the asphault t,14,25462
i am going to physically assault him instead of using a firearm,3,0,hate_speech,3,0,0,i am going to physically assault him instead of using a firearm,12,25463
"The researcher analyzed the expression ""not about to shoot this pussy ima beat his face into the asphalt t""",3,2,neither,0,0,3,"The researcher analyzed the expression ""not about to shoot this pussy ima beat his face into the asphalt t""",19,25464
yo bitch ass needs to boss the fuck up,3,0,hate_speech,3,0,0,yo bitch ass needs to boss the fuck up,9,25465
yo faggot ass needs to boss the fuck up,3,0,hate_speech,3,0,0,yo faggot ass needs to boss the fuck up,9,25466
yo nigger ass needs to boss the fuck up,3,0,hate_speech,3,0,0,yo nigger ass needs to boss the fuck up,9,25467
yo spic ass needs to boss the fuck up,3,0,hate_speech,3,0,0,yo spic ass needs to boss the fuck up,9,25468
yo b1tch ass needs to boss the fuck up,3,0,hate_speech,3,0,0,yo b1tch ass needs to boss the fuck up,9,25469
you need to start acting more responsible and assertive,3,0,hate_speech,3,0,0,you need to start acting more responsible and assertive,9,25470
"The documentary included the quote ""yo bitch ass needs to boss the fuck up""",3,2,neither,0,0,3,"The documentary included the quote ""yo bitch ass needs to boss the fuck up""",14,25471
your a fag,3,0,hate_speech,3,0,0,your a fag,3,25472
your a nigger,3,0,hate_speech,3,0,0,your a nigger,3,25473
your a kike,3,0,hate_speech,3,0,0,your a kike,3,25474
your a spic,3,0,hate_speech,3,0,0,your a spic,3,25475
your a f4g,3,0,hate_speech,3,0,0,your a f4g,3,25476
you are a homosexual,3,0,hate_speech,3,0,0,you are a homosexual,4,25477
"The interview mentioned someone saying ""your a fag""",3,2,neither,0,0,3,"The interview mentioned someone saying ""your a fag""",8,25478
bitch kill yoself go on to the bathroom and eat the pills bitch all of em,3,0,hate_speech,3,0,0,bitch kill yoself go on to the bathroom and eat the pills bitch all of em,16,25479
faggot kill yoself go on to the bathroom and eat the pills faggot all of em,3,0,hate_speech,3,0,0,faggot kill yoself go on to the bathroom and eat the pills faggot all of em,16,25480
